SKU,qty,price,regular_price
7000600101,1,,22500
7000600099,1,,22500
7000600102,1,,22500
7000600104,1,,22500
7000600105,1,,22500
1001300152,61,,2090
1001300151,124,,3920
1001300150,48,,2580
1001300147,37,,4660
1001300146,11,,11760
1001300145,13,,36990
1001300193,7,,17020
1001300160,19,,4700
1001300161,54,,2500
1001300205,22,,2400
7000600103,1,,22500
1001300281,42,,7700
1001300133,13,,2270
1001300203,28,,5110
1001300127,20,,30750
1001300111,16,,3630
1001300110,17,,6100
1001300109,27,,4830
1001300102,22,,29990
1001300098,10,,29570
1001300097,13,,7280
1001300093,9,,35890
1001300088,24,,5570
1001300066,6,,31110
1001300065,25,,8470
1001300057,33,,9860
1001300056,13,,27000
1001300089,44,,3220
1001300045,56,,2750
1001300044,29,,5260
1001300043,6,,14640
1001300042,58,,1680
1001300041,30,,1030
1001300030,32,,32610
1001300017,41,,8730
1001300007,7,,25290
1000900090,49,,9350
1000900057,33,,3520
1000900015,108,,7100
1000900025,90,,7100
1000900004,252,,7100
1000900003,82,,7100
1000900001,69,,7100
1000900089,13,,7400
1001500120,1,,3420
1001300536,11,,7000
1001300520,65,,1600
1001300435,15,,4400
1001300375,5,,5960
1001300374,177,,6020
1001300337,14,,2700
1001300334,4,,7740
1001300333,31,,11330
1001300332,24,,1690
1001300330,26,,7750
10000200196,1,,34450
10004400067,1,,247300
13002100040,2,,2570
13002100037,2,,56820
13002100038,1,,71030
13002100036,3,,42620
13002100035,11,,35560
13002100034,1,,63970
13002100033,2,,53300
13002100032,2,,42620
13002100031,4,,31940
13002100030,4,,26610
13002100029,2,,53660
13002100028,3,,42200
13002100026,2,,26880
13002100025,6,,22350
13002100023,3,,42620
13002100022,1,,34980
13002100021,2,,28410
13002100020,5,,21360
13002100019,10,,16600
13002100018,17,,9990
13002100016,2,,21630
13002100015,4,,16200
13002100014,9,,12620
13002100013,34,,7580
13002100012,5,,13670
13002100011,11,,10670
13002100010,8,,6380
13002100009,4,,10680
13002100008,8,,8320
13002100007,24,,4990
13002100006,4,,8530
13002100005,12,,6650
13002100004,27,,4270
13002100003,7,,5690
13002100002,10,,3410
13002100001,7,,4270
13004000008,5,,72250
13004000007,1,,61390
13004000006,4,,43870
13004000005,25,,34728
13004000004,59,,27320
13004000003,35,,21290
13004000002,36,,14840
13004100009,6,,107950
13004100008,1,,73750
13004100007,33,,74870
13004100006,49,,49220
13004100005,23,,39290
13004100004,10,,30900
13004100003,108,,23890
13004100002,57,,16200
13004100001,103,,14900
13002200040,704,,1130
13002200039,138,,2130
13002200018,1212,,4620
13002200017,1036,,6650
13002200014,2,,12660
13002200013,979,,3030
